,transaction_hash,tx_index,bundle_type,bundle_index,block_number,eoa_address,to_address,gas_used,gas_price,coinbase_transfer,total_miner_reward
0,0x69c63387db9b42cf5aa300b7036a91d02b3a008a44a3359f64a6e5f432ba7c34,0,flashbots,0,13398245,0x139e3338C204609E6dCFfAB0eE53a553E63C49f0,0x7d9d3659dcfbea08a87777c52020BC672deece13,113287,10345489987153,0,1172009524174601911
1,0xa2a0fcd3178777f56d878d9afa721efb469e6b638dd8fec5d6703e5adb83c7a0,0,flashbots,1,13398245,0x75F785804Ecf71450D9E7C34aF71C3364A7fe6c9,0x7d9d3659dcfbea08a87777c52020BC672deece13,113327,10345489987153,0,1172423343774088031
2,0x85e4c96d8a8651571025e1469d0aaa101e5b5173d33b6ae78ea7eaaed920a017,0,flashbots,2,13398245,0x3F4ADba7BFA1806Cf3d0c067a20a9144205c4734,0x7d9d3659dcfbea08a87777c52020BC672deece13,113327,10345489987153,0,1172423343774088031
0,0x735dd2831e161d7d962eb39458004d26174ac616e9fbd760fc4379ffdfbafff6,0,rogue,0,13398252,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,0x4212bb5b9c5e4a45D8265CAf1325e1b5a73Fbf99,21000,0,0,0
1,0x7801dcb0703948a228a8aa7d0abb3ea9c97101f0451af11727c55b08fc4af885,1,rogue,0,13398252,0x4A3848c35Ec8E653fA4E9E2924d5275eBE2391D7,0xC1E088fC1323b20BCBee9bd1B9fC9546db5624C5,222353,70456290626,0,15666167589562978
2,0x80b567d7413ea993e7ac807423a96cd0477729e23f8b10329d8afaa32884e31d,0,flashbots,1,13398252,0xA2dE91F18C39C0d796082D0de2Ae460731fA4f14,0x881D40237659C251811CEC9c364ef91dC08D300C,177304,36427601930,0,6458759532596720
0,0xe6e791e425269ef7b25073fe9970b28e29ed150454c3afdb011b78b0bf5a3538,0,flashbots,0,13398254,0xAE7861C80D03826837A50b45aecF11eC677f6586,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,117486,0,0,0
1,0xe05329698211746a2bf8c08a7a790c164d67726fc9d6dc9a1b77638a67d66eca,1,flashbots,0,13398254,0xAE7861C80D03826837A50b45aecF11eC677f6586,0xCbBB4F60d5874837841a705cE9631851B5e0bc03,32588,106434672866,3468493119360000,3468493119360000
2,0x98fa5b209b637026fb6cd7ae10e2d936fe6df35d9690178eeb911f7637c1dcff,0,flashbots,1,13398254,0x1D1A6cF27F64A83426Da39E011369e2365b741Ee,0x03f7724180AA6b939894B5Ca4314783B0b36b329,120432,1500000000,0,180648000000000
3,0x324379362a8947fb593d494524734327c123e649eae0013687b6b44948e66d9f,1,flashbots,1,13398254,0xe4b35743c2C15760d7551AfC9c304Ec0Dc30BA50,0x0000000000d41C96294CCdaC8612Bdfe29C641aF,188244,22107236878,0,4161554698862232
4,0xe395741470d40c5e326b052db781fce2f398c7c04852c1d0852177a7e9657310,0,flashbots,2,13398254,0x38563699560e4512c7574C8cC5Cf89fd43923BcA,0x000000000035B5e5ad9019092C665357240f594e,87703,0,0,0
5,0x6b4592e07398503451752b1cf77683b7a162c04d654e5040ff3968d4e093b15f,1,flashbots,2,13398254,0x85CAb75ba0493f2e8d4A5082c9e8e5ea8B82f982,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,250542,1500000000,0,375813000000000
6,0x84f848d32b640e5a805c512ebc2d88cedfc150210787c3ecd209ef9503e19966,2,flashbots,2,13398254,0x38563699560e4512c7574C8cC5Cf89fd43923BcA,0x000000000035B5e5ad9019092C665357240f594e,77712,66037824683,0,5131931431765296
0,0x5306ec2170efa091b4d98af968b453fcd2aa610c3b22be3306f5455431f58788,0,flashbots,0,13398255,0xCbAFDAE054f24e2e6c4A3dc70E85dB8b13b56ab4,0x478b33d7F923EecB39A712e038cf2f40293B96AE,379661,502525585566,0,190789366341573126
1,0x462a3a97c532eeadd58f8f922380552606566eb2a110876c56a893b50478cfbd,0,flashbots,1,13398255,0xf816131f9C053FA7C576eB8833a20fAEcF1b3335,0xCD9e13b2F3BFC26cd99989fB849a2751932595C4,133679,441810238603,58927071886335056,59060750886335056
2,0x671a386ee01333b3c378b584ad8d473161ebd0b959e9758182b744c9ebd3414c,0,flashbots,2,13398255,0x52B86A86e4D764E8275391c436127e60340A0e6a,0x00000000003b3cc22aF3aE1EAc0440BcEe416B40,151036,0,0,0
3,0x744dfdb4315172bd07e775ef303bf4e7bc51549871fc8562fde291ca3c873043,1,flashbots,2,13398255,0x896BD1C988839A41dbD7D1B57F2C2ff01f4C0FB4,0xE592427A0AEce92De3Edee1F18E0157C05861564,154270,1525585566,0,235352085266820
4,0xa795b7ea1959e035f1361d7b909a443a7830d8e3aeb1fa89d45757fd3e06df89,2,flashbots,2,13398255,0x52B86A86e4D764E8275391c436127e60340A0e6a,0x00000000003b3cc22aF3aE1EAc0440BcEe416B40,163082,176291255858,0,28749930587834356
0,0xbe3cff4703b9b4d12c83c313e3a58c8213d0ded846b8a280951e09c6e8844b0f,0,flashbots,0,13398256,0x281C662752D5ac41cf1c74fb92595794805Ad674,0xCD9e13b2F3BFC26cd99989fB849a2751932595C4,164645,3124739123110,514308027924449536,514472672924449536
1,0x8cab0da406481b7b311730dd6b34be9c2b87aeccfc5e48f539b70a49a9ad5e06,0,flashbots,1,13398256,0xD68fe83d3834bF35c6e1AA8A9d81c56249a61881,0xa57Bd00134B2850B2a1c55860c9e9ea100fDd6CF,207895,483606703980,100539415724111113,100539415724111113
2,0xbd4dd3304640e67959c3bd1824850dc3e6bd4e50c1ce8b1396f6014d0bffdd71,0,flashbots,2,13398256,0x305bF59bbD7a89cA9CE4d460B0EFb54266d9E6C3,0x4d246bE90C2f36730bb853aD41d0a189061192d3,207515,280982550812,51442461651166824,58308094031873539
3,0x2d82bb642211377536c63a0ac6b7aec26906dc013002a828affe44e483a4bce8,0,flashbots,3,13398256,0xd6f660Aea79dABd5220332a73D4effaeB70B3547,0xa405e822d1C3A8568c6B82Eb6e570FcA0136F802,93744,0,0,0
4,0x7632eb35d37d00e94f7c723c5ac3d03de3413430bed6968746a84cf818b5f81c,1,flashbots,3,13398256,0xf04dE0999c16D51f8C79bDC9DD6a25eB90a94A8F,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,99203,1500000000,0,148804500000000
5,0x46d9e53aa1e804500b0c21f1e8af46b05626915ee4e1bd144f486eb5b4b6b1e0,2,flashbots,3,13398256,0xd6f660Aea79dABd5220332a73D4effaeB70B3547,0xa405e822d1C3A8568c6B82Eb6e570FcA0136F802,83524,897571006787,0,74968720770877388
6,0x7d57357f5426b5d27814f6d1424a0a1fb38c4f7fb60d18feea1591e3cef776dd,0,flashbots,4,13398256,0x795c4A14851fBb2CDf4aF32c7429202741767e1b,0x6EB9A633A8d2caC1af65764fF23EeDa8a2799c67,103273,154667116660,0,15972937138828180
7,0xdca61aa425377f6cbb7acba1cc8a0ac7c86da5ad6b2b805e8b967755e39993eb,0,flashbots,5,13398256,0xfFfff73B511802Ad4e51807Dc516c191f23E9A6f,0xEdE2faFBa9e23418485f49f052D0e1d332853E0F,955113,122242082956,116755002578822096,116755002578822096
8,0x7aa4e03642e4be4cccf378d2a9725a0ac659aa9437b1659cbe27facac420a9a0,0,flashbots,6,13398256,0xE03EEBAF8F5B1A723cEC689323C303Ad9918061D,0xa57Bd00134B2850B2a1c55860c9e9ea100fDd6CF,130237,79556384317,10361184824394476,10361184824394476
0,0x2e84d435ff447ed1bfc1c0a6e2ff7252fcf8c8ad3880c6b3a180b2e5942ce2bf,0,flashbots,0,13398257,0xCC8eFEB2a5F50c81C5d7403676B198aE094B2F3C,0x00000000500e2fece27a7600435d0C48d64E0C00,93616,0,0,0
1,0x162487ee6ef85967aa5eaae3dbf5145dfb7ce210b4a5c291f2c2a8cc931b123d,1,flashbots,0,13398257,0x4DbE965AbCb9eBc4c6E9d95aEb631e5B58E70d5b,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,123559,20000000000,0,2471180000000000
2,0xa2691937dcbf0afa99728b169aec4ff854ae470d1ffd06eca72552a3dca70773,2,flashbots,0,13398257,0xCC8eFEB2a5F50c81C5d7403676B198aE094B2F3C,0x00000000500e2fece27a7600435d0C48d64E0C00,83752,3064595848585,0,256666031510690920
0,0x443b8f59e4cdfa320f313389c33391e4af948bc470967e4c52f2dff71800bedb,0,flashbots,0,13398260,0x3Aa27AB297a3a753F79C5497569ba2dACC2bc35A,0x00000000B2Ff98680adAF8A3e382176BbFC34C8F,489448,824490134900,403545047546579026,403545047546579026
0,0xed9d327c363bac9aa1b4ef92dc6caac595245b6ec294a641f694c195423f2995,0,rogue,0,13398262,0xf0290440a16Ec5dBBC37D5CD7EDC0B16e78a788c,0xc040aFA5D1C50b8970EcECfb3fDfaEc2Fe44F9E5,152257,302,0,45981614
1,0x0f6d5f701ee9c26917204ab00ab08dc3f3f945e3edb7ba684391117871cecb99,0,flashbots,1,13398262,0x927Cf8ceae6Efb1b7E81f5a7907E0E46d41619f8,0x4d246bE90C2f36730bb853aD41d0a189061192d3,156659,1226982183086,0,192217801820069674
2,0xfaa2cc9291ab8250d745c88c63f06dcadc2a31bfeb853ca536f4c38d5ebe4dfa,0,flashbots,2,13398262,0x4e4E7870CC48f815B310c268cE096d901bAaB6eD,0xd9e1cE17f2641f24aE83637ab66a2cca9C378B9F,118813,66000000000,0,7841658000000000
3,0xe49cbc316985440ee249bfdde053cbd5a2ee9b9dbc1b339965f43da59e811d54,1,flashbots,2,13398262,0xe51c5F47F08Fd806575E5682b090D2f2d1038192,0x00000000726422a6fECb4759b44D47E48Cf746aa,77386,9786,0,757299396
4,0xa24c19d10721e6230ede828e9a3ee03685f830f9e5ecb811c11d942b9e0cdce7,2,flashbots,2,13398262,0xb941F9b7566E7108332a9eC187D222A1Cc05e422,0xd9e1cE17f2641f24aE83637ab66a2cca9C378B9F,182583,1500000000,0,273874500000000
5,0xffb7533a6f3a9e2bd269b06f1cca919076c7a449f1353c2db666c4e7d2c72175,3,flashbots,2,13398262,0xe51c5F47F08Fd806575E5682b090D2f2d1038192,0x00000000726422a6fECb4759b44D47E48Cf746aa,77803,611769104958,0,47597471673047274
0,0xe353d2255ad965fab3b67ab06618fa7b6cfcd1323a3c14da9929cedd785dc3dd,0,flashbots,0,13398263,0xD295879063BE7A6c49F7327AfaA831a4f3f64882,0xa57Bd00134B2850B2a1c55860c9e9ea100fDd6CF,309205,109177002004,33758074904785276,33758074904785276
1,0x0a4cc62b3821c60e92e04e30afb1bdf6c5b4faaa6e0d1ef5e404af094d16c824,0,flashbots,1,13398263,0xeCa2e2D894D19778939bD4DfC34D2a3C45E96456,0xa57Bd00134B2850B2a1c55860c9e9ea100fDd6CF,205942,52399324445,10791221674980051,10791221674980051
2,0x391b5177b0ceb362baf01f3a440de9133e4faa9fa965ce5c78181730d7fd5ae8,0,flashbots,2,13398263,0xE03EEBAF8F5B1A723cEC689323C303Ad9918061D,0xa57Bd00134B2850B2a1c55860c9e9ea100fDd6CF,127880,44644197182,5709099935678725,5709099935678725
0,0x89a7ec7c8a9299955a87cf8245fd65b172777a92b8c32d87978c1d4d4eae3667,0,rogue,0,13398265,0xc2746566b0fba5FF640F30BfFcD2D0e4d751933c,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,171161,1940000000,0,332052340000000
1,0x1504d42e87ce21c0797cd826fe2ed370c1c848c461866fccfe27d06f8ede793e,1,rogue,0,13398265,0x5AA3393e361C2EB342408559309b3e873CD876d6,0x58418d6c83EfAB01ed78b0AC42E55af01eE77DbA,132812,1000000000,0,132812000000000
2,0x608a804659ebd994fea13bc43b6a4e79108c0703b1fead78836469c7090a8c95,0,flashbots,1,13398265,0x5Ea20F5865a1334ccEEA6d1BC674a7699c7752e7,0x000000000755567F4924bf483BdF5A53EBc8Ef64,222198,136436342125,0,30315882347490750
3,0xfa35f55bdbf0e0014e21e1427769252e322e8b46234a6f1369cd2ab6997c06b9,0,flashbots,2,13398265,0x26bce6eCb5b10138e4bf14aC0ffcc8727FEF3B2e,0xa57Bd00134B2850B2a1c55860c9e9ea100fDd6CF,227628,56277148336,12810254721639291,12810254721639291
